,en,hi,ta,te,ml,ur,bn,gu,mr,pa
en,0.0,31.8,4.92,10.2,5.82,23.8,14.3,22.7,14.7,23.3
hi,30.1,0.0,8.58,16.0,9.23,58.9,21.8,48.5,27.7,53.2
ta,13.7,20.7,0.0,8.09,5.76,16.8,10.2,15.4,10.0,16.7
te,21.3,31.2,5.61,0.0,7.03,24.1,15.6,23.7,15.1,22.0
ml,16.9,25.1,5.4,9.91,0.0,20.2,13.2,19.0,12.0,18.6
ur,27.1,58.9,8.28,13.9,7.47,0.0,18.3,39.0,20.7,41.1
bn,22.0,32.8,6.26,11.9,7.02,25.7,0.0,24.6,16.2,23.4
gu,29.2,56.7,7.94,15.4,7.85,44.7,21.1,0.0,24.5,40.8
mr,26.1,45.2,7.13,13.4,7.5,34.3,18.5,34.1,0.0,31.6
pa,29.9,72.0,8.23,15.7,8.51,54.4,21.0,45.4,25.1,0.0
