,en,hi,ta,te,ml,ur,bn,gu,mr,pa
en,0.0,30.0,5.17,9.18,5.59,23.5,14.3,21.8,13.6,22.7
hi,29.0,0.0,8.12,16.1,8.78,58.6,21.3,48.3,26.7,54.0
ta,13.6,19.2,0.0,7.43,5.36,16.5,9.72,15.0,9.23,16.3
te,19.8,28.7,5.62,0.0,6.61,24.0,13.6,22.8,13.8,22.0
ml,17.0,23.3,5.78,10.0,0.0,19.4,13.0,18.9,11.3,18.9
ur,26.0,58.9,6.65,13.6,8.04,0.0,17.3,39.0,20.2,41.5
bn,20.8,31.3,5.83,11.5,7.21,24.5,0.0,24.2,14.7,22.8
gu,27.8,57.3,7.35,15.1,8.67,45.4,20.3,0.0,23.8,40.9
mr,24.0,43.8,6.7,13.2,8.09,33.9,17.8,33.0,0.0,32.1
pa,29.2,70.8,7.51,15.0,9.13,55.3,20.0,45.4,24.5,0.0
