,en,hi,ta,te,ml,ur,bn,gu,mr,or
en,0.0,13.8,2.42,2.96,2.51,7.22,4.67,7.22,4.81,0.73
hi,17.8,0.0,2.85,4.84,4.02,0.0,7.56,24.4,10.5,0.7
ta,9.69,11.0,0.0,3.42,2.94,0.0,3.19,5.62,3.68,0.5
te,7.24,11.4,2.19,0.0,3.23,0.0,3.59,6.14,4.11,0.3
ml,11.2,14.5,2.41,4.26,0.0,0.0,4.26,7.37,4.69,0.31
ur,15.3,39.7,1.79,3.64,3.3,0.0,5.9,18.9,7.68,0.36
bn,10.8,16.2,1.83,3.54,2.82,0.54,0.0,8.92,5.14,0.41
gu,14.5,37.3,2.28,4.54,3.61,0.0,7.05,0.0,9.71,0.5
mr,11.5,19.5,2.15,3.6,3.33,0.0,5.0,12.7,0.0,0.54
or,3.16,8.32,1.28,1.47,1.15,0.0,3.18,4.87,3.14,0.0
