,en,hi,ta,te,ml,ur,bn,gu,mr,or
en,0.0,15.9,4.04,3.79,4.61,17.5,7.39,11.0,8.0,0.23
hi,20.2,0.0,5.55,5.43,6.51,38.1,11.1,30.1,14.8,0.28
ta,13.6,14.5,0.0,2.99,4.51,12.9,6.31,8.85,6.6,0.12
te,10.2,14.2,3.75,0.0,4.7,12.5,6.14,8.84,6.86,0.0
ml,15.1,16.9,4.49,4.19,0.0,16.0,7.24,10.5,7.91,0.0
ur,21.1,42.4,3.76,4.34,5.54,0.0,9.98,23.1,12.0,0.0
bn,14.9,18.6,3.7,3.56,4.82,17.7,0.0,12.5,8.27,0.08
gu,19.8,40.1,4.8,4.72,6.08,33.3,10.9,0.0,13.8,0.0
mr,16.1,22.8,4.34,4.01,5.09,20.7,9.02,16.2,0.0,0.2
or,11.6,14.5,3.45,1.59,3.48,8.23,7.14,9.57,5.58,0.0
